PUMFID,VERDATE,AGEGRP,BH_05,BH_10,BH_25,BH_30,BH_45,PBH_50,BH_15A,BH_15B,BH_15C,BH_15D,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_55A,BH_55B,BH_55C,BH_55D,BH_55E,BH_55F,BH_55G,BH_55H,BH_55I,BH_55J,BH_55K,BH_55L,BH_60A,BH_60B,BH_60C,BH_60D,BH_60E,BH_60F,PBH_65A,BH_65B,BH_65C,PBH_70_C,DWELCODC,EDUC_LVC,PEMPSTC,HASCHILD,HHLDSIZC,IMMIGRNC,LM_30,LM_40,PLM_45,LM_35A,LM_35B,LM_35CDE,LM_35F,MARSTATC,SEX,PTELEWSC,COVID_WT
1315,23/04/2020,5,3,3,2,3,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,3,9,3,3,9,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,2,2,1,4,3,4,4,4,4,2,1,2,2,1,4,4,0,2,1,6,5,3,2,2,2,1,1,2,9,1238.8759
1316,23/04/2020,3,7,3,3,4,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,1,4,3,3,4,1,3,3,3,3,1,1,1,4,4,4,4,4,4,2,2,2,3,4,4,3,3,3,4,4,4,2,2,1,6,1,3,3,1,1,1,4,2,1,2,2,2,1,3,2,4,4217.2606
1317,23/04/2020,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,4,4,1,4,3,3,1,1,3,3,3,3,3,2,2,3,3,2,4,3,2,2,2,2,3,3,4,4,4,4,4,2,2,1,6,1,2,1,0,2,1,3,3,2,2,2,2,1,2,1,3,6243.3809
1318,23/04/2020,6,1,5,9,2,1,2,9,2,9,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,9,2,2,4,3,3,3,1,1,1,3,3,4,4,3,3,3,4,2,3,3,2,2,1,3,4,4,4,4,4,2,2,1,6,1,3,4,0,2,1,6,3,2,2,2,2,1,1,1,9,6692.7451
1319,23/04/2020,6,1,12,3,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,3,2,1,1,1,2,1,1,4,4,4,4,4,4,2,2,1,6,1,7,4,0,2,1,6,5,3,2,2,2,1,1,1,9,1092.7461
1320,23/04/2020,6,6,6,3,2,1,2,2,2,2,3,2,1,2,2,2,1,1,2,1,2,1,2,2,2,3,9,9,9,9,3,9,9,1,1,1,1,9,3,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,4,2,2,1,6,1,5,4,0,2,1,6,2,2,2,2,2,1,1,2,9,1975.8933
1321,23/04/2020,5,6,6,1,1,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,3,3,3,4,3,3,3,1,1,1,3,1,2,2,3,3,3,3,1,4,1,1,3,1,3,4,4,3,4,3,2,2,1,6,3,3,1,0,2,1,5,4,2,2,2,2,1,1,1,1,8338.0581
1322,23/04/2020,3,6,6,3,4,1,2,2,2,2,3,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,4,1,4,2,3,3,1,1,1,1,1,4,3,2,2,2,3,3,4,3,3,2,1,3,4,4,4,4,4,2,2,1,6,1,4,2,1,2,1,5,2,1,2,2,2,1,1,1,4,8916.4171
1323,23/04/2020,3,6,6,2,4,2,2,2,2,2,3,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,3,3,4,4,3,3,1,1,1,1,3,1,1,4,3,2,2,3,1,3,3,3,3,1,3,4,4,3,4,4,2,2,1,6,1,6,1,1,2,2,4,2,2,2,2,2,1,2,1,3,4544.6503
1324,23/04/2020,7,1,1,2,1,2,1,9,9,9,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,3,9,3,9,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,4,4,4,4,2,2,2,1,6,1,6,3,0,1,1,1,2,2,2,2,2,1,3,1,4,4896.2507
